duty,harmonic,Vn_mag_V
0.382,1,14.24099758664507
0.382,2,5.159162622940394
0.382,3,2.254949154062867
0.382,4,3.8049501090025424
0.382,5,0.852534021212516
0.382,6,2.02187994739692
0.382,7,1.8646282426531458
0.382,8,0.33426941989175274
0.382,9,1.6655509916980478
0.382,10,0.8186830373951519
0.382,11,0.8234713612309119
0.382,12,1.2291620783237633
0.382,13,0.1252998807998042
0.382,14,0.9692660980714808
0.382,15,0.7640568614376746
0.382,16,0.32910974894918715
0.382,17,0.8985976635962687
0.382,18,0.32236650845474113
0.382,19,0.5827307504654302
0.382,20,0.691236950607537
0.382,21,0.050245688971434846
0.382,22,0.6631479808565256
0.382,23,0.4137172330932046
0.382,24,0.3206164879843895
0.382,25,0.6036306494973989
0.382,26,0.12458577051589508
0.382,27,0.4719918422609112
0.382,28,0.44545517825682546
0.382,29,0.12781528310525886
0.382,30,0.5052798682506829
0.382,31,0.23472205688657857
0.382,32,0.3089464642225686
0.382,33,0.43756061075925407
0.382,34,0.01693716389069897
0.382,35,0.400635936611815
0.382,36,0.29821390921828844
0.382,37,0.16874859304013545
0.382,38,0.4015678067176509
0.382,39,0.1234010131949654
0.382,40,0.2943143791332772
0.5,1,15.278874536821952
0.5,2,9.355612398046502e-16
0.5,3,5.092958178940651
0.5,4,9.355612398046502e-16
0.5,5,3.0557749073643907
0.5,6,9.355612398046502e-16
0.5,7,2.182696362403136
0.5,8,9.355612398046502e-16
0.5,9,1.6976527263135504
0.5,10,9.355612398046502e-16
0.5,11,1.3889885942565414
0.5,12,9.355612398046502e-16
0.5,13,1.1752980412939962
0.5,14,9.3556123980465e-16
0.5,15,1.0185916357881302
0.5,16,9.355612398046502e-16
0.5,17,0.8987573256954089
0.5,18,9.355612398046502e-16
0.5,19,0.8041512914116817
0.5,20,9.355612398046502e-16
0.5,21,0.7275654541343787
0.5,22,3.4029006290611968e-15
0.5,23,0.6642988929053023
0.5,24,9.355612398046502e-16
0.5,25,0.6111549814728781
0.5,26,1.152187474181658e-15
0.5,27,0.5658842421045168
0.5,28,9.3556123980465e-16
0.5,29,0.5268577426490328
0.5,30,2.744943458592784e-15
0.5,31,0.49286692054264364
0.5,32,9.355612398046502e-16
0.5,33,0.46299619808551373
0.5,34,6.60952482655468e-16
0.5,35,0.43653927248062724
0.5,36,9.355612398046502e-16
0.5,37,0.41294255504924193
0.5,38,2.3640208862163347e-15
0.5,39,0.39176601376466547
0.5,40,9.355612398046502e-16
