n,f_hz,R_ohm,L_H,XL_ohm,I_phase1_mag_A,I_phase1_phase_rad
1,1000000.0,0.6064462779279913,5.886856715424859e-07,3.6988211619828952,3.799416070206015,-2.608373982009303
2,2000000.0,0.799753519847553,5.886856715424859e-07,7.3976423239657905,0.6933662093922122,2.4199031867541745
3,3000000.0,0.9483102390383338,5.886856715424859e-07,11.096463485948687,0.20247527210511881,-1.9442154183167286
4,4000000.0,1.0736232501883936,5.886856715424859e-07,14.795284647931581,0.2564987225858984,3.1260663221095273
5,5000000.0,1.1840610334882533,5.886856715424859e-07,18.49410580991448,0.04600341862471276,1.9174760990718078
6,6000000.0,1.2839240359051023,5.886856715424859e-07,22.192926971897375,0.0909526198232355,-2.4303529476763486
7,7000000.0,1.3757698689327078,5.886856715424859e-07,25.891748133880267,0.07191486336959929,2.6480410662428446
8,8000000.0,1.461266221166942,5.886856715424859e-07,29.590569295863162,0.011282735895950939,-1.6973827638049948
9,9000000.0,1.541572096110262,5.886856715424859e-07,33.28939045784606,0.049978926926397625,-2.900538758066103
10,10000000.0,1.6175316964966664,5.886856715424859e-07,36.98821161982896,0.02211248658752124,2.1799861651032573
11,11000000.0,1.6897825262224142,5.886856715424859e-07,40.68703278181185,0.020221727733107226,-2.1638906661842885
12,12000000.0,1.7588199860476348,5.886856715424859e-07,44.38585394379475,0.027670937742590364,2.9173038378712275
13,13000000.0,1.8250381226381676,5.886856715424859e-07,48.08467510577764,0.002603942463849761,1.7155469405167865
14,14000000.0,1.8887564818778049,5.886856715424859e-07,51.78349626776053,0.01870522606660124,-2.6276126307366585
15,15000000.0,1.9502384533081274,5.886856715424859e-07,55.48231742974343,0.013762678130804614,2.454162507755694
16,16000000.0,2.009704185863354,5.886856715424859e-07,59.181138591726324,0.005557854396092845,-1.8887092232257345
17,17000000.0,2.0673399181332424,5.886856715424859e-07,62.87995975370922,0.014282967069297756,-3.0898773718822294
18,18000000.0,2.1233048694737247,5.886856715424859e-07,66.57878091569212,0.004839420210006349,1.9922346256975443
19,19000000.0,2.17773642880062,5.886856715424859e-07,70.27760207767501,0.008287863499021093,-2.35034951276324
20,20000000.0,2.2307541284563244,5.886856715424859e-07,73.97642323965792,0.00933977146668538,2.731915480478097
21,21000000.0,2.282462733736408,5.886856715424859e-07,77.67524440164081,0.0006465896673952375,-1.6105351314309424
22,22000000.0,2.332954677337482,5.886856715424859e-07,81.3740655636237,0.008146030432940663,-2.811338098737328
23,23000000.0,2.382312000891452,5.886856715424859e-07,85.0728867256066,0.004861185863908283,2.2710930258048783
24,24000000.0,2.4306079203414273,5.886856715424859e-07,88.7717078875895,0.0036103436775747335,-2.0712102974302353
25,25000000.0,2.4779081005736106,5.886856715424859e-07,92.47052904957238,0.006525474108892657,3.011303342992524
