n,c_real,c_imag,abs_c,real_sinusoid_amplitude,phase_rad
0,0.5,0.0,0.5,0.5,0.0
1,1.9490859162596877e-17,-0.3183098861837907,0.3183098861837907,0.6366197723675814,-1.5707963267948966
2,-1.9490859162596877e-17,-2.3869418286106128e-33,1.9490859162596877e-17,3.8981718325193755e-17,-3.141592653589793
3,1.9490859162596877e-17,-0.1061032953945969,0.1061032953945969,0.2122065907891938,-1.5707963267948963
4,-1.9490859162596877e-17,-4.7738836572212255e-33,1.9490859162596877e-17,3.8981718325193755e-17,-3.141592653589793
5,1.9490859162596877e-17,-0.06366197723675814,0.06366197723675814,0.12732395447351627,-1.5707963267948963
6,-1.9490859162596877e-17,-7.160825485831837e-33,1.9490859162596877e-17,3.8981718325193755e-17,-3.1415926535897927
7,1.9490859162596877e-17,-0.04547284088339867,0.04547284088339867,0.09094568176679733,-1.5707963267948961
8,-1.9490859162596877e-17,-9.547767314442451e-33,1.9490859162596877e-17,3.8981718325193755e-17,-3.1415926535897927
9,1.949085916259688e-17,-0.0353677651315323,0.0353677651315323,0.0707355302630646,-1.5707963267948961
10,-1.9490859162596877e-17,-1.1934709143053065e-32,1.9490859162596877e-17,3.8981718325193755e-17,-3.1415926535897927
11,7.08937631054416e-17,-0.028937262380344612,0.028937262380344612,0.057874524760689224,-1.5707963267948941
12,-1.9490859162596877e-17,-1.4321650971663674e-32,1.9490859162596877e-17,3.8981718325193755e-17,-3.1415926535897927
13,-2.4003905712117877e-17,-0.024485375860291588,0.024485375860291588,0.048970751720583176,-1.5707963267948977
14,-1.9490859162596877e-17,-1.6708592800274288e-32,1.9490859162596877e-17,3.8981718325193755e-17,-3.1415926535897922
15,5.718632205401634e-17,-0.02122065907891938,0.02122065907891938,0.04244131815783876,-1.570796326794894
16,-1.9490859162596877e-17,-1.9095534628884902e-32,1.9490859162596877e-17,3.8981718325193755e-17,-3.1415926535897922
17,-1.3769843388655584e-17,-0.018724110951987685,0.018724110951987685,0.03744822190397537,-1.5707963267948974
18,-1.949085916259688e-17,-2.148247645749552e-32,1.949085916259688e-17,3.898171832519376e-17,-3.1415926535897922
19,4.925043512950698e-17,-0.016753151904410037,0.016753151904410037,0.033506303808820075,-1.5707963267948937
20,-1.9490859162596877e-17,-2.386941828610613e-32,1.9490859162596877e-17,3.8981718325193755e-17,-3.1415926535897922
21,-7.434471474131306e-18,-0.015157613627799556,0.015157613627799556,0.03031522725559911,-1.570796326794897
22,-7.08937631054416e-17,-3.4736704399959335e-31,7.08937631054416e-17,1.417875262108832e-16,-3.1415926535897882
23,4.407485670047914e-17,-0.013839560268860466,0.013839560268860466,0.027679120537720932,-1.5707963267948934
24,-1.9490859162596877e-17,-2.864330194332735e-32,1.9490859162596877e-17,3.8981718325193755e-17,-3.141592653589792
25,-3.1264185722547967e-18,-0.012732395447351627,0.012732395447351627,0.025464790894703253,-1.5707963267948968
26,2.4003905712117877e-17,-4.7063805981484624e-32,2.4003905712117877e-17,4.8007811424235754e-17,-1.9606728399089416e-15
27,4.043278299116325e-17,-0.0117892550438441,0.0117892550438441,0.0235785100876882,-1.5707963267948932
28,-1.9490859162596877e-17,-3.3417185600548576e-32,1.9490859162596877e-17,3.8981718325193755e-17,-3.1415926535897913
29,-6.79405710284174e-21,-0.010976202971854851,0.010976202971854851,0.021952405943709702,-1.5707963267948966
30,-5.718632205401634e-17,-3.0821619798928578e-31,5.718632205401634e-17,1.1437264410803267e-16,-3.141592653589788
31,3.773059927134823e-17,-0.01026806084463841,0.01026806084463841,0.02053612168927682,-1.570796326794893
32,-1.9490859162596877e-17,-3.8191069257769804e-32,1.9490859162596877e-17,3.8981718325193755e-17,-3.1415926535897913
33,2.3565578483153064e-18,-0.009645754126781536,0.009645754126781536,0.019291508253563072,-1.5707963267948963
34,1.3769843388655584e-17,-2.0252880089665746e-32,1.3769843388655584e-17,2.7539686777311167e-17,-1.4708141202500005e-15
35,3.564605754463379e-17,-0.009094568176679734,0.009094568176679734,0.01818913635335947,-1.5707963267948928
36,-1.949085916259688e-17,-4.296495291499104e-32,1.949085916259688e-17,3.898171832519376e-17,-3.141592653589791
37,4.208914747156557e-18,-0.008602969896859207,0.008602969896859207,0.017205939793718414,-1.5707963267948961
38,-4.925043512950698e-17,-2.895700312736098e-31,4.925043512950698e-17,9.850087025901396e-17,-3.1415926535897873
39,3.398911412083513e-17,-0.00816179195343053,0.00816179195343053,0.01632358390686106,-1.5707963267948926
40,-1.9490859162596877e-17,-4.773883657221226e-32,1.9490859162596877e-17,3.8981718325193755e-17,-3.141592653589791
